campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	creative_id	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name	relevance_score
23842572361070240	EliAds_ID_0524_M	23842572573290240	ID_F_170524_2358_Ll5YNF1_AB_Oi_CIM	23842572573300240	0524_Image1	0.07				2			2	1									126	0.555556	126	1	0.07	0.793651	1	0.07	0.793651	1	0	2017-06-28	2017-06-28	00:25:49	63	63											23842572573640240	0	IMPRESSIONS	APP_INSTALLS	3000	13	45	2	23842572569280240	"Lookalike (ID, 5%) - YNF1"			
23842572361070240	EliAds_ID_0524_M	23842572573290240	ID_F_170524_2358_Ll5YNF1_AB_Oi_CIM	23842572765840240	"0524_Image10 - Copy 2"	0.5				16			15	10									1595	0.31348	1586	5	0.1	0.31348	5	0.1	0.315259	1	2	2017-06-28	2017-06-28	00:25:50	907	900											23842572765880240	0	IMPRESSIONS	APP_INSTALLS	3000	13	45	2	23842572569280240	"Lookalike (ID, 5%) - YNF1"			7
23842573359820240	EliAds_ID_0526_M	23842582706500240	ID_M_20170622_1954_MB_Oi_CIM_msamsung_Friends	23842582706600240	20170622_Friends	0																	1	0	1	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:25:54	0	0											23842582706510240	75	IMPRESSIONS	APP_INSTALLS	1500	13	50						
23842573359820240	EliAds_ID_0526_M	23842583079440240	ID_MF_20170623_1542_AB_Oi_CIM_sysamsung_1	23842583079550240	20170623_1	0.21				15			15	9									507	0.414201	480	6	0.035	1.183432	6	0.035	1.25	0	2	2017-06-28	2017-06-28	00:25:55	227	225											23842583079460240	0	IMPRESSIONS	APP_INSTALLS	1500	13	45						5
23842573359820240	EliAds_ID_0526_M	23842583079050240	ID_MF_20170623_1540_MB_Oi_CIM_msamsung_street	23842583079160240	20170623_street	0.19	1	2	2	10			10	3			1	1	1	0.19	0.095	0.095	505	0.376238	470	7	0.027143	1.386139	7	0.027143	1.489362	0	0	2017-06-28	2017-06-28	00:25:56	69	69											23842583079070240	72	IMPRESSIONS	APP_INSTALLS	1500	13	50						4
23842573359820240	EliAds_ID_0526_M	23842583078200240	ID_MF_20170623_1539_MB_Oi_CIM_msamsung_Mermaid	23842583078420240	20170623_Mermaid	0.01				2			2	1									76	0.131579	74	1	0.01	1.315789	1	0.01	1.351351	0	0	2017-06-28	2017-06-28	00:25:56	44	44											23842583078330240	72	IMPRESSIONS	APP_INSTALLS	1500	13	50						
23842573359820240	EliAds_ID_0526_M	23842583077980240	ID_MF_20170623_1539_MB_Oi_CIM_msamsung_map	23842583078080240	20170623_map	0.03				10			10	9									294	0.102041	290	1	0.03	0.340136	1	0.03	0.344828	0	0	2017-06-28	2017-06-28	00:25:57	220	218											23842583077990240	72	IMPRESSIONS	APP_INSTALLS	1500	13	50						
23842573359820240	EliAds_ID_0526_M	23842579874620240	ID_M_170613_1150_BphoneLive_MB_Oi_Ci	23842579874630240	20170613_BPhoneLive	0																	15	0	14	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:25:58	12	12											23842579878030240	70	APP_INSTALLS	APP_INSTALLS	10000	13	40	1					
23842577135540240	EliAds_ID_0604_M	23842577156440240	ID_M_170604_1500_MB_Oi_CI_OP_7.1	23842577156450240	image10	0																	3	0	3	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:26:06	1	1											23842578449530240	55	APP_INSTALLS	APP_INSTALLS	80000	40	65	1					
23842577135540240	EliAds_ID_0604_M	23842577156440240	ID_M_170604_1500_MB_Oi_CI_OP_7.1	23842577156430240	image10	0				8			8	3									598	0	588	5	0	0.83612	5	0	0.85034	5	1	2017-06-28	2017-06-28	00:26:06	229	226											23842578449520240	55	APP_INSTALLS	APP_INSTALLS	80000	40	65	1					7
