campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	creative_id	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name	relevance_score
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585679590042	20170623_3lian	0.01																	5	2	5	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:24:57	0	0											23842585679500042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24	23842585373410042	20170622_8P	0.98	3	3	3	30			30	3			3	3	3	0.326667	0.326667	0.326667	1799	0.544747	1787	27	0.036296	1.500834	24	0.040833	1.343033	13	12	2017-06-27	2017-06-27	00:24:58	8	8											23842585374980042	0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1					10
23842582264520042	EliAds_hikeyboard_BR_0614	23842585366920042	BR_MF_20170622_1709_AB_OI_CIM_18_24_V_hikeyboard-1	23842585367400042	20170622_hikeyboard-1	0.27				35			35	3		28							287	0.940767	287	4	0.0675	1.393728	4	0.0675	1.393728	1	0	2017-06-27	2017-06-27	00:25:00	0	0	0.03375	8	4	26	14	6	4	4			23842585367310042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24						
23842582264520042	EliAds_hikeyboard_BR_0614	23842585352540042	BR_F_20170622_1615_AB_OI_CIM_18_24_3lian	23842585352560042	20170622_3lian	0.55				13			13	3									839	0.655542	832	10	0.055	1.191895	10	0.055	1.201923	7	7	2017-06-27	2017-06-27	00:25:01	3	3											23842585356820042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24	2					10
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585682180042	20170623_3lian	0																	1	0	1	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:56:15	0	0											23842585684250042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585679590042	20170623_3lian	0.05																	11	4.545455	10	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:56:17	0	0											23842585679500042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2	23842585683000042	20170623_many-keyboards-2	0.05				1			1										11	4.545455	11	1	0.05	9.090909	1	0.05	9.090909	0	0	2017-06-27	2017-06-27	00:56:20	0	0											23842585682910042	150	IMPRESSIONS	APP_INSTALLS	2000	15	45						
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24	23842585373410042	20170622_8P	2.32	22	36	36	105	1		105	11			22	22	22	0.105455	0.064444	0.064444	4675	0.496257	4630	93	0.024946	1.989305	82	0.028293	1.771058	37	60	2017-06-27	2017-06-27	00:56:21	34	34											23842585374980042	0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1					10
23842582264520042	EliAds_hikeyboard_BR_0614	23842585366920042	BR_MF_20170622_1709_AB_OI_CIM_18_24_V_hikeyboard-1	23842585367400042	20170622_hikeyboard-1	1.03	4	7	7	146			146	14		120	4	4	4	0.2575	0.147143	0.147143	1124	0.91637	1122	12	0.085833	1.067616	12	0.085833	1.069519	1	0	2017-06-27	2017-06-27	00:56:22	0	0	0.035517	29	13	108	53	24	14	13			23842585367310042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24						8
23842582264520042	EliAds_hikeyboard_BR_0614	23842585352540042	BR_F_20170622_1615_AB_OI_CIM_18_24_3lian	23842585352560042	20170622_3lian	1.24	7	13	13	52			51	8			6	7	7	0.177143	0.095385	0.095385	1952	0.635246	1930	43	0.028837	2.202869	42	0.029524	2.176166	28	34	2017-06-27	2017-06-27	00:56:37	9	9											23842585356820042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24	2					10
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585682180042	20170623_3lian	0.01																	3	3.333333	3	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:24:37	0	0											23842585684250042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585679590042	20170623_3lian	0.06																	16	3.75	15	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:24:38	0	0											23842585679500042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2	23842585683000042	20170623_many-keyboards-2	0.05	1	2	2	1			1				1	1	1	0.05	0.025	0.025	12	4.166667	12	1	0.05	8.333333	1	0.05	8.333333	0	0	2017-06-27	2017-06-27	01:24:39	0	0											23842585682910042	150	IMPRESSIONS	APP_INSTALLS	2000	15	45						
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24	23842585373410042	20170622_8P	3.08	36	62	62	158	1		158	15			36	36	36	0.085556	0.049677	0.049677	6611	0.46589	6570	142	0.02169	2.147935	131	0.023511	1.993912	63	82	2017-06-27	2017-06-27	01:24:40	57	57											23842585374980042	0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1					10
23842582264520042	EliAds_hikeyboard_BR_0614	23842585366920042	BR_MF_20170622_1709_AB_OI_CIM_18_24_V_hikeyboard-1	23842585367400042	20170622_hikeyboard-1	1.62	8	14	14	261			261	19		220	8	8	8	0.2025	0.115714	0.115714	1713	0.945709	1710	22	0.073636	1.284297	22	0.073636	1.28655	1	0	2017-06-27	2017-06-27	01:24:40	0	0	0.027931	58	31	199	100	49	33	31			23842585367310042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24						8
23842582264520042	EliAds_hikeyboard_BR_0614	23842585352540042	BR_F_20170622_1615_AB_OI_CIM_18_24_3lian	23842585352560042	20170622_3lian	1.75	21	35	35	83			82	10			19	20	20	0.083333	0.05	0.05	2918	0.599726	2883	72	0.024306	2.467443	68	0.025735	2.358654	44	56	2017-06-27	2017-06-27	01:24:41	14	14											23842585356820042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24	2					10
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585682180042	20170623_3lian	0.01																	3	3.333333	3	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:55:00	0	0											23842585684250042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585679590042	20170623_3lian	0.07																	21	3.333333	20	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:55:01	0	0											23842585679500042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2	23842585683000042	20170623_many-keyboards-2	0.06	1	2	2	1			1				1	1	1	0.06	0.03	0.03	15	4	14	1	0.06	6.666667	1	0.06	7.142857	0	0	2017-06-27	2017-06-27	01:55:02	0	0											23842585682910042	150	IMPRESSIONS	APP_INSTALLS	2000	15	45						
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24	23842585373410042	20170622_8P	3.71	45	78	78	194	1		194	19			43	45	45	0.082444	0.047564	0.047564	8027	0.46219	7929	174	0.021322	2.167684	158	0.023481	1.992685	77	96	2017-06-27	2017-06-27	01:55:03	69	69											23842585374980042	0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1					10
23842582264520042	EliAds_hikeyboard_BR_0614	23842585366920042	BR_MF_20170622_1709_AB_OI_CIM_18_24_V_hikeyboard-1	23842585367400042	20170622_hikeyboard-1	1.97	13	23	23	348			348	30		289	13	13	13	0.151538	0.085652	0.085652	2122	0.928369	2118	29	0.067931	1.366635	29	0.067931	1.369216	2	1	2017-06-27	2017-06-27	01:55:04	0	0	0.024625	80	42	266	130	68	44	41			23842585367310042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24						8
23842582264520042	EliAds_hikeyboard_BR_0614	23842585352540042	BR_F_20170622_1615_AB_OI_CIM_18_24_3lian	23842585352560042	20170622_3lian	2.23	26	42	42	100			99	10			24	25	25	0.085769	0.053095	0.053095	3742	0.595938	3698	89	0.025056	2.378407	85	0.026235	2.29854	57	70	2017-06-27	2017-06-27	01:55:05	24	23											23842585356820042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24	2					10
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585682180042	20170623_3lian	0.01																	3	3.333333	3	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	02:24:32	0	0											23842585684250042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585679590042	20170623_3lian	0.09																	23	3.913043	22	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	02:24:32	0	0											23842585679500042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2	23842585683000042	20170623_many-keyboards-2	0.06	1	2	2	1			1				1	1	1	0.06	0.03	0.03	19	3.157895	18	1	0.06	5.263158	1	0.06	5.555556	0	0	2017-06-27	2017-06-27	02:24:33	0	0											23842585682910042	150	IMPRESSIONS	APP_INSTALLS	2000	15	45						
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24	23842585373410042	20170622_8P	4.21	54	91	91	220	1		220	19			54	53	53	0.077963	0.046264	0.046264	9368	0.449402	9242	200	0.02105	2.134927	187	0.022513	2.023372	88	110	2017-06-27	2017-06-27	02:24:34	82	82											23842585374980042	0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1					10
23842582264520042	EliAds_hikeyboard_BR_0614	23842585366920042	BR_MF_20170622_1709_AB_OI_CIM_18_24_V_hikeyboard-1	23842585367400042	20170622_hikeyboard-1	2.36	18	33	33	425			425	36		353	18	18	18	0.131111	0.071515	0.071515	2488	0.948553	2484	36	0.065556	1.446945	36	0.065556	1.449275	3	2	2017-06-27	2017-06-27	02:24:35	0	0	0.026222	90	49	318	153	77	51	48			23842585367310042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24						8
23842582264520042	EliAds_hikeyboard_BR_0614	23842585352540042	BR_F_20170622_1615_AB_OI_CIM_18_24_3lian	23842585352560042	20170622_3lian	2.55	32	54	54	112			111	12			30	31	31	0.079688	0.047222	0.047222	4318	0.590551	4268	99	0.025758	2.292728	94	0.027128	2.202437	59	81	2017-06-27	2017-06-27	02:24:36	25	25											23842585356820042	0	IMPRESSIONS	APP_INSTALLS	1500	18	24	2					10
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM	23842585682180042	20170623_3lian	0.01																	3	3.333333	3	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	02:54:37	0	0											23842585684250042	180	IMPRESSIONS	APP_INSTALLS	3500	15	45						
