campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842576415680598	EliAds_Typany_ID_0501					0.77	6	22	16	1171			1171	1		1138	6	6	6	0.128333	0.035	0.048125	8415	0.091503	7991	32	0.024063	0.380273	32	0.024063	0.400451	1	1	2017-06-27	2017-06-27	00:28:47	70	70	0.001353	569	138	796	511	277	20	20		
23842570697070598	EliAds_Typany_ID_0.14					0.35	3	10	9	68			68	33			3	3	3	0.116667	0.035	0.038889	3033	0.115397	3008	35	0.01	1.153973	34	0.010294	1.130319	7	17	2017-06-27	2017-06-27	00:28:53	2243	2222										
23842576415680598	EliAds_Typany_ID_0501					0.82	8	36	26	1447			1447	5		1403	8	8	8	0.1025	0.022778	0.031538	10590	0.077432	9844	39	0.021026	0.368272	39	0.021026	0.39618	2	1	2017-06-27	2017-06-27	00:59:24	229	229	0.001153	711	183	995	638	368	31	30		
23842570697070598	EliAds_Typany_ID_0.14					0.71	10	49	35	157			157	74		3	10	10	10	0.071	0.01449	0.020286	5871	0.120933	5700	80	0.008875	1.36263	75	0.009467	1.315789	10	40	2017-06-27	2017-06-27	00:59:59	4241	4126	0.355	2	1	2	2	1	1			
23842576415680598	EliAds_Typany_ID_0501					0.95	11	44	32	1542			1542	9		1490	11	11	11	0.086364	0.021591	0.029688	11167	0.085072	10404	43	0.022093	0.385063	43	0.022093	0.413303	2	1	2017-06-27	2017-06-27	01:28:40	386	386	0.00125	760	196	1059	682	394	42	39		
23842570697070598	EliAds_Typany_ID_0.14					1	16	80	55	230			230	108		4	16	16	16	0.0625	0.0125	0.018182	7554	0.13238	7364	118	0.008475	1.562086	110	0.009091	1.493753	11	60	2017-06-27	2017-06-27	01:28:44	5405	5282	0.333333	3	1	3	3	1	1			
23842576415680598	EliAds_Typany_ID_0501					1.2	11	46	33	1582			1582	13		1526	11	11	11	0.109091	0.026087	0.036364	11617	0.103297	11091	43	0.027907	0.370147	43	0.027907	0.387702	2	1	2017-06-27	2017-06-27	01:58:41	522	522	0.00155	774	202	1082	695	403	47	44		
23842570697070598	EliAds_Typany_ID_0.14					1.24	20	94	68	268			268	122		5	20	20	20	0.062	0.013191	0.018235	8990	0.137931	8747	141	0.008794	1.568409	131	0.009466	1.497656	17	67	2017-06-27	2017-06-27	01:58:46	6387	6265	0.413333	3	1	3	3	1	1			
23842576415680598	EliAds_Typany_ID_0501					1.2	11	53	37	1604			1604	18		1541	11	11	11	0.109091	0.022642	0.032432	11898	0.100857	11330	45	0.026667	0.378215	45	0.026667	0.397176	2	1	2017-06-27	2017-06-27	02:28:40	641	641	0.001536	781	205	1092	702	405	50	47		
23842570697070598	EliAds_Typany_ID_0.14					1.4	22	118	82	316			316	147		7	22	22	22	0.063636	0.011864	0.017073	10052	0.139276	9815	162	0.008642	1.61162	151	0.009272	1.538462	21	79	2017-06-27	2017-06-27	02:28:44	7118	7012	0.35	4	1	5	4	2	2			
23842576415680598	EliAds_Typany_ID_0501					1.34	12	57	40	1624			1624	20		1557	12	12	12	0.111667	0.023509	0.0335	12110	0.110652	11525	47	0.028511	0.388109	47	0.028511	0.407809	3	2	2017-06-27	2017-06-27	02:58:40	707	707	0.001698	789	212	1103	710	412	57	54		
23842570697070598	EliAds_Typany_ID_0.14					1.52	23	129	88	346			346	164		8	23	23	23	0.066087	0.011783	0.017273	10788	0.140897	10634	174	0.008736	1.612903	163	0.009325	1.532819	21	81	2017-06-27	2017-06-27	02:58:44	7636	7615	0.38	4	1	5	4	2	2			
23842576415680598	EliAds_Typany_ID_0501					1.34	12	59	41	1637			1637	20		1568	12	12	12	0.111667	0.022712	0.032683	12248	0.109406	11651	49	0.027347	0.400065	49	0.027347	0.420565	3	2	2017-06-27	2017-06-27	03:28:52	751	751	0.001686	795	214	1110	715	414	59	56		
23842570697070598	EliAds_Typany_ID_0.14					1.66	25	143	96	362			362	169		8	25	25	25	0.0664	0.011608	0.017292	11427	0.14527	11261	185	0.008973	1.618973	174	0.00954	1.545156	23	86	2017-06-27	2017-06-27	03:29:06	8087	8047	0.415	4	1	5	4	2	2			
23842576415680598	EliAds_Typany_ID_0501					1.46	13	62	44	1648			1648	23		1575	13	13	13	0.112308	0.023548	0.033182	12399	0.117751	11806	50	0.0292	0.403258	50	0.0292	0.423513	4	3	2017-06-27	2017-06-27	03:59:01	802	802	0.001832	797	215	1114	717	416	60	57		
23842570697070598	EliAds_Typany_ID_0.14					1.74	27	153	104	374			374	174		9	27	28	28	0.064444	0.011373	0.016731	11871	0.146576	11735	191	0.00911	1.608963	180	0.009667	1.533873	23	91	2017-06-27	2017-06-27	03:59:17	8389	8369	0.348	5	2	6	5	3	3	1		
