campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842576415680598	EliAds_Typany_ID_0501					0				52			52	4		44							547	0	538	4	0	0.731261	4	0	0.743494	1	1	2017-06-29	2017-06-29	00:29:09	211	208	0	28	7	37	27	17	4	4		
23842570697070598	EliAds_Typany_ID_0.14					0.23	4	13	10	55			55	28		2	4	4	4	0.0575	0.017692	0.023	1898	0.12118	1877	25	0.0092	1.317176	25	0.0092	1.331913	2	13	2017-06-29	2017-06-29	00:29:24	1397	1383	0.23	1	1	2	1	1	1	1		
23842576415680598	EliAds_Typany_ID_0501					0				104			104	9		86							1195	0	1178	9	0	0.753138	9	0	0.764007	4	4	2017-06-29	2017-06-29	00:58:39	554	551	0	54	18	71	50	32	15	13		
23842570697070598	EliAds_Typany_ID_0.14					0.54	6	20	16	110			110	51		2	6	6	6	0.09	0.027	0.03375	4127	0.130846	4076	57	0.009474	1.381149	56	0.009643	1.373896	4	30	2017-06-29	2017-06-29	00:58:43	3025	2990	0.54	1	1	2	1	1	1	1		
23842576415680598	EliAds_Typany_ID_0501					0.15	1	4	3	164			164	15		135	1	1	1	0.15	0.0375	0.05	1815	0.082645	1792	14	0.010714	0.77135	14	0.010714	0.78125	7	5	2017-06-29	2017-06-29	01:28:41	904	901	0.001923	78	30	109	71	49	27	26		
23842570697070598	EliAds_Typany_ID_0.14					0.88	10	37	28	181			181	87		3	10	10	10	0.088	0.023784	0.031429	6209	0.14173	6109	91	0.00967	1.465614	89	0.009888	1.456867	6	42	2017-06-29	2017-06-29	01:28:45	4563	4505	0.44	2	2	3	2	2	2	2		
23842576415680598	EliAds_Typany_ID_0501					0.15	1	4	3	201			201	18		167	1	1	1	0.15	0.0375	0.05	2193	0.068399	2169	16	0.009375	0.729594	16	0.009375	0.737667	9	5	2017-06-29	2017-06-29	01:58:38	1118	1115	0.00163	92	39	130	84	61	36	35		
23842570697070598	EliAds_Typany_ID_0.14					1.12	14	58	44	240			240	115		3	14	14	14	0.08	0.01931	0.025455	7369	0.151988	7287	122	0.00918	1.655584	118	0.009492	1.619322	8	59	2017-06-29	2017-06-29	01:58:42	5430	5384	0.56	2	2	3	2	2	2	2		
23842576415680598	EliAds_Typany_ID_0501					0.28	2	7	6	235			235	23		195	2	2	2	0.14	0.04	0.046667	2583	0.108401	2558	17	0.016471	0.658149	17	0.016471	0.664582	10	6	2017-06-29	2017-06-29	02:28:51	1354	1351	0.0025	112	55	151	104	79	53	50		
23842570697070598	EliAds_Typany_ID_0.14					1.33	17	82	59	285			285	135		3	17	17	17	0.078235	0.01622	0.022542	8256	0.161095	8130	147	0.009048	1.780523	142	0.009366	1.746617	10	74	2017-06-29	2017-06-29	02:29:39	6084	6011	0.665	2	2	3	2	2	2	2		
23842576415680598	EliAds_Typany_ID_0501					0.28	3	12	10	264			263	26		218	3	3	3	0.093333	0.023333	0.028	2786	0.100503	2758	19	0.014737	0.681981	19	0.014737	0.688905	12	7	2017-06-29	2017-06-29	02:58:48	1476	1471	0.002276	123	60	165	115	87	58	54		
23842570697070598	EliAds_Typany_ID_0.14					1.5	20	103	73	308			308	141		3	20	21	21	0.075	0.014563	0.020548	8961	0.167392	8848	164	0.009146	1.830153	158	0.009494	1.785714	11	85	2017-06-29	2017-06-29	02:58:55	6574	6522	0.75	2	2	3	2	2	2	2		
23842576415680598	EliAds_Typany_ID_0501					0.42	3	12	10	282			281	28		232	3	3	3	0.14	0.035	0.042	3134	0.134014	3103	21	0.02	0.67007	21	0.02	0.676764	13	8	2017-06-29	2017-06-29	03:28:41	1680	1675	0.003182	132	61	176	122	91	59	55		
