campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			0.02																	220	0.090909	220	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:06:25	165	165											0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0				71			71	5		62							649	0	638	4	0	0.616333	4	0	0.626959	1	1	2017-06-29	2017-06-29	00:35:52	272	269	0	37	9	50	34	21	6	5			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			0.31	4	14	11	74			74	35		2	4	4	4	0.0775	0.022143	0.028182	2449	0.126582	2421	37	0.008378	1.510821	37	0.008378	1.528294	2	20	2017-06-29	2017-06-29	00:37:25	1797	1780	0.31	1	1	2	1	1	1	1			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0				114			114	9		96							1195	0	1178	9	0	0.753138	9	0	0.764007	4	4	2017-06-29	2017-06-29	01:01:10	554	551	0	56	21	75	51	35	17	17			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			0.59	7	20	16	117			117	55		2	7	6	6	0.084286	0.0295	0.036875	4621	0.127678	4563	60	0.009833	1.29842	59	0.01	1.293009	4	30	2017-06-29	2017-06-29	01:01:56	3383	3343	0.59	1	1	2	1	1	1	1			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.15	1	4	3	165			165	16		135	1	1	1	0.15	0.0375	0.05	1815	0.082645	1792	14	0.010714	0.77135	14	0.010714	0.78125	7	5	2017-06-29	2017-06-29	01:31:10	904	901	0.001852	81	31	114	71	51	27	26			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			0.88	12	44	34	187			187	92		3	12	12	12	0.073333	0.02	0.025882	6209	0.14173	6130	92	0.009565	1.48172	90	0.009778	1.468189	6	43	2017-06-29	2017-06-29	01:31:52	4563	4518	0.44	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.15	1	4	3	205			205	18		171	1	1	1	0.15	0.0375	0.05	2193	0.068399	2169	16	0.009375	0.729594	16	0.009375	0.737667	9	5	2017-06-29	2017-06-29	02:01:28	1118	1115	0.001596	94	41	132	86	63	38	37			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.12	14	58	44	243			243	116		3	14	14	14	0.08	0.01931	0.025455	7369	0.151988	7293	124	0.009032	1.682725	120	0.009333	1.645413	8	60	2017-06-29	2017-06-29	02:02:18	5430	5380	0.56	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.28	2	8	7	239			239	24		198	2	2	2	0.14	0.035	0.04	2630	0.106464	2605	17	0.016471	0.646388	17	0.016471	0.652591	10	6	2017-06-29	2017-06-29	02:37:45	1382	1379	0.002456	114	57	153	106	81	55	51			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.39	18	86	61	297			297	139		3	18	18	18	0.077222	0.016163	0.022787	8485	0.163819	8388	155	0.008968	1.826753	149	0.009329	1.776347	10	80	2017-06-29	2017-06-29	02:39:49	6239	6196	0.695	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.28	3	12	10	267			266	26		221	3	3	3	0.093333	0.023333	0.028	2954	0.094787	2924	19	0.014737	0.643196	19	0.014737	0.649795	12	7	2017-06-29	2017-06-29	03:01:36	1569	1564	0.002258	124	60	167	116	88	58	54			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.52	20	105	74	313			313	144		3	20	21	21	0.076	0.014476	0.020541	9097	0.167088	8997	166	0.009157	1.824777	160	0.0095	1.778371	11	85	2017-06-29	2017-06-29	03:02:19	6672	6630	0.76	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.42	3	12	10	282			281	28		232	3	3	3	0.14	0.035	0.042	3153	0.133206	3122	21	0.02	0.666032	21	0.02	0.672646	13	8	2017-06-29	2017-06-29	03:30:36	1681	1676	0.003182	132	61	176	122	91	59	55			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.6	23	117	82	326			326	148		3	23	24	24	0.069565	0.013675	0.019512	9482	0.168741	9378	175	0.009143	1.845602	169	0.009467	1.80209	11	90	2017-06-29	2017-06-29	03:31:15	6934	6886	0.8	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.56	4	14	12	299			297	29		245	4	4	4	0.14	0.04	0.046667	3374	0.165975	3338	23	0.024348	0.681683	23	0.024348	0.689035	13	8	2017-06-29	2017-06-29	04:01:24	1791	1785	0.004058	138	65	184	127	96	65	61			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.68	24	121	85	334			334	151		3	24	25	25	0.07	0.013884	0.019765	9836	0.170801	9703	180	0.009333	1.830012	173	0.009711	1.782954	11	95	2017-06-29	2017-06-29	04:02:04	7188	7121	0.84	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.56	4	18	14	309			307	30		252	5	5	4	0.14	0.031111	0.04	3518	0.159181	3475	25	0.0224	0.710631	25	0.0224	0.719424	14	8	2017-06-29	2017-06-29	04:31:23	1839	1833	0.003836	146	69	192	134	100	69	65			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.71	24	121	85	340			340	154		3	24	25	25	0.07125	0.014132	0.020118	10039	0.170336	9885	183	0.009344	1.822891	176	0.009716	1.780475	12	97	2017-06-29	2017-06-29	04:32:05	7340	7254	0.855	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.61	6	24	19	316			314	30		257	6	6	6	0.101667	0.025417	0.032105	3650	0.167123	3601	27	0.022593	0.739726	27	0.022593	0.749792	15	9	2017-06-29	2017-06-29	05:02:11	1900	1894	0.004094	149	71	195	137	102	70	66			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.74	26	128	91	353			353	156		3	26	27	27	0.066923	0.013594	0.019121	10194	0.170689	10016	194	0.008969	1.90308	185	0.009405	1.847045	12	102	2017-06-29	2017-06-29	05:03:10	7449	7345	0.87	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.61	6	28	21	335			332	31		272	6	6	6	0.101667	0.021786	0.029048	3768	0.16189	3719	29	0.021034	0.769639	29	0.021034	0.77978	16	10	2017-06-29	2017-06-29	05:40:12	1961	1955	0.003789	161	76	208	148	109	76	71			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.78	28	137	97	360			360	159		3	28	28	28	0.063571	0.012993	0.018351	10359	0.171831	10182	198	0.00899	1.911381	189	0.009418	1.856217	13	105	2017-06-29	2017-06-29	05:42:22	7556	7449	0.89	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1			0.61	6	33	24	341			338	31		277	6	6	6	0.101667	0.018485	0.025417	3861	0.15799	3811	30	0.020333	0.777001	30	0.020333	0.787195	17	11	2017-06-29	2017-06-29	06:04:45	2007	2001	0.003697	165	79	212	152	112	79	74			15	APP_INSTALLS	APP_INSTALLS	4000	13	50					
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim			1.79	29	140	100	362			362	159		3	29	29	29	0.061724	0.012786	0.0179	10462	0.171095	10291	200	0.00895	1.91168	191	0.009372	1.855991	14	107	2017-06-29	2017-06-29	06:05:47	7619	7515	0.895	2	2	3	2	2	2	2			0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"		
