campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	creative_id	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name	relevance_score
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.14	1	7	5	247			247	2		236	1	1	1	0.14	0.02	0.028	1895	0.073879	1820	9	0.015556	0.474934	9	0.015556	0.494505	0	0	2017-06-28	2017-06-28	00:26:57	36	36	0.001186	118	26	174	106	65	3	3			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0				5			5			5							47	0	47	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:26:57	21	21	0	3	1	3	3	1	1	1			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0				1			1	1									61	0	61	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:27:26	53	53											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799330598	20170412_5I_2	0.23	2	7	5	59			59	26			2	2	2	0.115	0.032857	0.046	1748	0.131579	1737	33	0.00697	1.887872	32	0.007188	1.842257	1	18	2017-06-28	2017-06-28	00:27:27	1299	1292											23842570800010598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.14	1	7	5	331			331	5		311	1	1	1	0.14	0.02	0.028	2535	0.055227	2393	15	0.009333	0.591716	15	0.009333	0.626828	0	0	2017-06-28	2017-06-28	00:57:27	122	121	0.000864	162	44	233	145	90	9	9			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0				18			18			17							99	0	98	1	0	1.010101	1	0	1.020408	1	1	2017-06-28	2017-06-28	00:57:27	40	40	0	6	3	9	6	4	3	3			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842583520060598	"Default Name-应用安装量"	0				2			2	1		1							4	0	4	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:57:27	3	3	0	1	1	1	1	1	1	1			23842583519960598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0.01				7			7	6									142	0.070423	141	1	0.01	0.704225	1	0.01	0.70922	0	1	2017-06-28	2017-06-28	00:57:55	122	121											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799330598	20170412_5I_2	0.59	4	15	11	137			137	49			4	4	4	0.1475	0.039333	0.053636	4387	0.134488	4346	88	0.006705	2.005927	86	0.00686	1.978831	7	42	2017-06-28	2017-06-28	00:57:55	3233	3210											23842570800010598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583512360598	20170519_V_new	0																	2	0	2	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	01:27:17	0	0											23842583741410598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.14	1	10	6	350			350	6		328	1	1	1	0.14	0.014	0.023333	2815	0.049734	2661	16	0.00875	0.568384	16	0.00875	0.601278	0	0	2017-06-28	2017-06-28	01:27:18	217	216	0.000809	173	50	247	156	96	13	13			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0.14	1	4	3	27			27			25	1	1	1	0.14	0.035	0.046667	263	0.532319	261	2	0.07	0.760456	2	0.07	0.766284	2	2	2017-06-28	2017-06-28	01:27:18	111	111	0.014	10	5	15	9	7	5	5			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842583520060598	"Default Name-应用安装量"	0				3			3	1		2							10	0	10	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	01:27:18	9	9	0	2	1	2	2	1	1	1			23842583519960598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0.01				10			10	9									215	0.046512	213	1	0.01	0.465116	1	0.01	0.469484	0	1	2017-06-28	2017-06-28	01:27:45	185	183											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649360598;23842570649330598	"Lookalike (ID, 3% to 6%) - IDMF1;Lookalike (ID, 3%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799330598	20170412_5I_2	1.05	7	27	19	196			196	74			7	7	7	0.15	0.038889	0.055263	7019	0.149594	6869	122	0.008607	1.738139	119	0.008824	1.732421	10	57	2017-06-28	2017-06-28	01:27:46	5160	5064											23842570800010598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583512360598	20170519_V_new	0																	3	0	3	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	02:10:15	1	1											23842583741410598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.14	1	10	6	376			376	6		346	1	1	1	0.14	0.014	0.023333	3082	0.045425	2930	24	0.005833	0.778715	24	0.005833	0.819113	2	1	2017-06-28	2017-06-28	02:10:16	325	324	0.000753	186	57	261	169	104	19	18			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0.14	1	4	3	46			46			43	1	1	1	0.14	0.035	0.046667	356	0.393258	354	3	0.046667	0.842697	3	0.046667	0.847458	3	3	2017-06-28	2017-06-28	02:10:16	151	151	0.007	20	11	29	18	15	11	11			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842583520060598	"Default Name-应用安装量"	0				4			4	1		3							21	0	21	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	02:10:17	15	15	0	2	1	3	2	1	1	1			23842583519960598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0.01				12			12	11									265	0.037736	263	1	0.01	0.377358	1	0.01	0.380228	0	1	2017-06-28	2017-06-28	02:12:49	222	220											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799330598	20170412_5I_2	1.66	12	46	33	290			290	125			12	12	12	0.138333	0.036087	0.050303	9798	0.169422	9629	165	0.010061	1.684017	160	0.010375	1.661647	13	77	2017-06-28	2017-06-28	02:12:50	7186	7127											23842570800010598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583512360598	20170519_V_new	0																	4	0	4	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	02:30:14	2	2											23842583741410598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
