campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	creative_id	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name	relevance_score
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583512360598	20170519_V_new	0																	6	0	6	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:31:04	4	4											23842583741410598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.77	6	22	16	1164			1164			1132	6	6	6	0.128333	0.035	0.048125	8820	0.087302	8365	32	0.024063	0.362812	32	0.024063	0.382546	1	1	2017-06-27	2017-06-27	00:31:05	36	36	0.001358	567	136	792	509	275	18	18			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						9
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0				7			7	1		6							62	0	61	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:31:06	30	30	0	2	2	4	2	2	2	2			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842583520060598	"Default Name-应用安装量"	0				2			2	2									30	0	30	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:31:07	7	7											23842583519960598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0				2			2	2									34	0	34	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	00:32:54	30	30											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799330598	20170412_5I_2	0.41	3	13	10	76			76	32			3	3	3	0.136667	0.031538	0.041	3339	0.122791	3311	44	0.009318	1.31776	43	0.009535	1.298701	7	21	2017-06-27	2017-06-27	00:32:55	2462	2439											23842570800010598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583512360598	20170519_V_new	0																	11	0	11	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:05:31	8	8											23842583741410598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.82	8	36	26	1455			1455	2		1413	8	8	8	0.1025	0.022778	0.031538	10419	0.078702	9653	40	0.0205	0.383914	40	0.0205	0.414379	1	1	2017-06-27	2017-06-27	01:05:31	160	160	0.001147	715	182	1002	641	367	27	27			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						9
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0				21			21	3		17							160	0	158	1	0	0.625	1	0	0.632911	1	0	2017-06-27	2017-06-27	01:05:32	61	61	0	10	6	12	9	8	7	6			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842583520060598	"Default Name-应用安装量"	0				6			6	3		3							73	0	72	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:05:33	19	19	0	2	1	2	2	1	1				23842583519960598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0				7			7	6									78	0	78	1	0	1.282051	1	0	1.282051	0	0	2017-06-27	2017-06-27	01:07:53	71	71											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799330598	20170412_5I_2	0.79	12	55	38	175			175	78			12	11	11	0.065833	0.014364	0.020789	6297	0.125457	6097	97	0.008144	1.540416	91	0.008681	1.492537	10	50	2017-06-27	2017-06-27	01:07:54	4560	4432											23842570800010598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			10
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583512360598	20170519_V_new	0																	16	0	16	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:27:19	13	13											23842583741410598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842583326670598	20170519_V	0.95	10	43	32	1508			1508	6		1460	10	11	11	0.095	0.022093	0.029688	10896	0.087188	10130	42	0.022619	0.385463	42	0.022619	0.41461	1	1	2017-06-27	2017-06-27	01:27:22	274	274	0.001282	741	187	1037	664	378	32	30			23842583326850598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						9
23842576415680598	EliAds_Typany_ID_0501	23842577900130598	ID_MF_1700505_1345_MB_Oi_CI_V1	23842577900120598	20170505_V1	0				22			22	3		18							255	0	253	1	0	0.392157	1	0	0.395257	1	0	2017-06-27	2017-06-27	01:27:23	99	99	0	12	8	14	11	10	9	8			23842577900670598	15	APP_INSTALLS	APP_INSTALLS	4000	13	50						
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842583520060598	"Default Name-应用安装量"	0.01				7			7	3		4							103	0.097087	102	0	0	0	0	0	0	0	0	2017-06-27	2017-06-27	01:27:23	31	31	0.003333	3	1	3	3	1	1				23842583519960598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
23842570697070598	EliAds_Typany_ID_0.14	23842570799340598	ID_MF_170412_2240_LI6IDMF1_AB_Oi_Cim	23842570799350598	20170412_5I_1	0.01				9			9	6									95	0.105263	95	3	0.003333	3.157895	3	0.003333	3.157895	0	0	2017-06-27	2017-06-27	01:28:01	79	79											23842570800240598	0	IMPRESSIONS	APP_INSTALLS	2100	13	45		23842570649330598;23842570649360598	"Lookalike (ID, 3%) - IDMF1;Lookalike (ID, 3% to 6%) - IDMF1"			
