Media Source,Date,Campaign,Install Day,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
facebook,2017/7/13,EliAds_and_SA_M_Ar_LL,17,4,3,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0
facebook,2017/7/26,EliAds_and_SA_0525_1,16,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/21,EliAds_and_SA_M_Ar_LL,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/14,EliAds_and_SA_F_En_LL,16,10,5,1,3,5,2,2,0,1,2,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0
facebook,2017/7/16,EliAds_and_SA_F_En_LL,15,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
facebook,2017/7/15,EliAds_and_SA_M_En_LL,15,2,3,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
facebook,2017/7/5,EliAds_and_SA_0703_AR,15,4,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
facebook,2017/7/12,EliAds_and_SA_F_En_LL,15,4,3,3,1,1,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
facebook,2017/7/8,EliAds_and_SA_F_Ar,14,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
facebook,2017/7/25,EliAds_and_SA_0525_1,13,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
facebook,2017/7/25,EliAds_and_SA_M_Ar_LL,13,4,1,3,2,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
facebook,2017/7/16,EliAds_and_SA_M_En_LL,13,6,2,4,3,2,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
facebook,2017/7/15,EliAds_and_SA_M_Ar_LL,13,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/22,EliAds_and_SA_F_En_LL,12,2,1,2,2,0,2,1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
facebook,2017/7/20,EliAds_and_SA_F_En_LL,11,0,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
facebook,2017/7/17,EliAds_and_SA_M_En_LL,11,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/19,EliAds_and_SA_M_Ar_LL,11,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
facebook,2017/7/17,EliAds_and_SA_F_En_LL,11,2,1,0,1,0,1,1,1,1,2,1,1,1,1,0,1,0,1,0,1,1,1,0,2,2,1,0,1,1,1
facebook,2017/7/9,EliAds_and_SA_M_En_LL,10,3,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
facebook,2017/7/21,EliAds_and_SA_F_En_LL,10,3,3,2,2,0,2,0,0,0,0,0,1,0,0,1,1,2,0,0,1,1,0,1,1,2,1,1,1,2,1
facebook,2017/7/11,EliAds_and_SA_M_Ar_LL,9,4,2,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
facebook,2017/7/16,EliAds_and_SA_M_Ar_LL,9,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/24,EliAds_and_SA_M_Ar_LL,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
facebook,2017/7/18,EliAds_and_SA_M_En_LL,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/5,EliAds_and_SA_F_Ar,8,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/23,EliAds_and_SA_M_Ar_LL,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/30,EliAds_and_SA_F_En_LL,7,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/31,EliAds_and_SA_M_En,7,2,0,1,0,1,2,0,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/29,EliAds_and_SA_F_En_LL,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/20,EliAds_and_SA_M_Ar_LL,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/1,EliAds_and_SA_F_Ar,5,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
facebook,2017/7/17,EliAds_and_SA_M_Ar_LL,4,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
facebook,2017/7/9,EliAds_and_SA_F_Ar,4,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
facebook,2017/7/25,EliAds_and_SA_F_En_LL,4,1,0,1,2,1,1,1,2,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
facebook,2017/7/25,EliAds_and_SA_M_En_LL,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/21,EliAds_and_SA_M_En_LL,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/4,EliAds_and_SA_0703_AR,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/27,EliAds_and_SA_0525_1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/3,EliAds_and_SA_F_Ar,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
facebook,2017/7/26,EliAds_and_SA_F_En_LL,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/22,EliAds_and_SA_M_Ar_LL,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/25,EliAds_and_SA_0614_test,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/4,EliAds_and_SA_F_Ar,3,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
facebook,2017/7/28,EliAds_and_SA_F_En_LL,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/20,EliAds_and_SA_M_En_LL,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/23,EliAds_and_SA_F_En_LL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/24,EliAds_and_SA_F_En_LL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/18,EliAds_and_SA_M_Ar_LL,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/28,EliAds_and_SA_0525_1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/18,EliAds_and_SA_F_Ar,3,3,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
facebook,2017/7/2,EliAds_and_SA_F_Ar,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/31,EliAds_and_SA_M_Ar_LL,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/12,EliAds_and_SA_F_Ar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/30,EliAds_and_SA_0525_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/31,EliAds_and_SA_F_En,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/28,EliAds_and_SA_M_En_LL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/24,EliAds_and_SA_M_En_LL,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/16,EliAds_and_SA_0703_AR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/29,EliAds_and_SA_F_Ar,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/16,EliAds_and_SA_F_Ar,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/8,EliAds_and_SA_0703_AR,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
facebook,2017/7/29,EliAds_and_SA_M_En_LL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/17,EliAds_and_SA_F_Ar_LL,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
facebook,2017/7/29,EliAds_and_SA_0525_1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/29,EliAds_and_SA_F_Ar_LL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/23,EliAds_and_SA_M_En_LL,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/13,EliAds_and_SA_F_Ar_LL,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/19,EliAds_and_SA_M_En_LL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/9,EliAds_and_SA_M_Ar_LL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/8,EliAds_and_SA_F_En_LL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/10,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/19,EliAds_and_SA_F_Ar_LL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/22,EliAds_and_SA_M_En_LL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/30,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/25,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/17,EliAds_and_SA_0703_AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/11,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/24,EliAds_and_SA_0703_AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/15,EliAds_and_SA_0703_AR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/27,EliAds_and_SA_F_En_LL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/12,EliAds_and_SA_F_Ar_LL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/30,EliAds_and_SA_M_En_LL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/22,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/23,EliAds_and_SA_0703_AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/10,EliAds_and_SA_0703_AR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/3,EliAds_and_SA_0703_AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/31,EliAds_and_SA_M_Ar,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/17,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/28,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/15,EliAds_and_SA_F_Ar_LL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/23,EliAds_and_SA_F_Ar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/16,EliAds_and_SA_F_Ar_LL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/20,EliAds_and_SA_0703_AR,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,2017/7/26,EliAds_and_SA_F_Ar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
