campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2			0																	1	0	1	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:30:07	0	0											150	IMPRESSIONS	APP_INSTALLS	2000	15	45					
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM			0																	1	0	1	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:30:08	0	0											180	IMPRESSIONS	APP_INSTALLS	3500	15	45					
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24			0.14	2	3	3	14			14	3			2	2	2	0.07	0.046667	0.046667	472	0.29661	468	11	0.012727	2.330508	10	0.014	2.136752	3	5	2017-06-29	2017-06-29	00:30:08	2	2											0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1				
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2			0				1			1										6	0	4	1	0	16.666667	1	0	25	0	0	2017-06-29	2017-06-29	00:58:56	0	0											150	IMPRESSIONS	APP_INSTALLS	2000	15	45					
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM			0.02																	14	1.428571	10	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:58:58	0	0											180	IMPRESSIONS	APP_INSTALLS	3500	15	45					
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24			0.42	4	6	6	28			28	4			4	4	4	0.105	0.07	0.07	1265	0.332016	1252	24	0.0175	1.897233	22	0.019091	1.757188	10	10	2017-06-29	2017-06-29	00:58:58	9	9											0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1				
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2			0				1			1										6	0	4	1	0	16.666667	1	0	25	0	0	2017-06-29	2017-06-29	01:29:04	0	0											150	IMPRESSIONS	APP_INSTALLS	2000	15	45					
23842585679430042	EliAds_hikeyboard_AU_0623	23842585679490042	AU_MF_20170623_2040_MB_OI_CIM			0.03																	17	1.764706	13	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	01:29:04	0	0											180	IMPRESSIONS	APP_INSTALLS	3500	15	45					
23842580794710042	EliAds_hikeyboard_BR_0610	23842585373430042	BR_M_170622_1735_AB_OI_CIM_13_24			0.83	11	17	17	54			53	7			11	11	11	0.075455	0.048824	0.048824	2406	0.344971	2381	46	0.018043	1.911887	44	0.018864	1.847963	24	26	2017-06-29	2017-06-29	01:29:05	21	20											0	IMPRESSIONS	APP_INSTALLS	2500	13	25	1				
23842585679430042	EliAds_hikeyboard_AU_0623	23842585682860042	AU_MF_20170623_2103_AB_OI_CIM_many-keyboards-2			0				1			1										7	0	5	1	0	14.285714	1	0	20	0	0	2017-06-29	2017-06-29	01:58:56	0	0											150	IMPRESSIONS	APP_INSTALLS	2000	15	45					
