campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842735532680616	EliAds_fb_FM_KR_3					184.68	116	309	260	10312	2	4	10311	78		9552	116	123	123	1.592069	0.59767	0.710308	35451	5.209444	31331	675	0.2736	1.904037	647	0.28544	2.065047	521	414	2017-06-29	2017-06-29	00:30:05	7088	5846	0.041878	4410	3767	9915	6365	4898	3623	3193		
23842728373390616	EliAds_fb_FM_BR					37.39	268	639	629	13557	9	7	13531	79		12693	268	267	267	0.139515	0.058513	0.059444	65822	0.568047	63574	743	0.050323	1.128802	720	0.051931	1.132538	608	337	2017-06-29	2017-06-29	00:30:05	3102	3102	0.007375	5070	2274	9438	5376	3652	2399	1786		
23842719941570616	EliAds_fb_Male_RU_2					7.92	20	48	42	1514		1	1514	42		1403	20	24	24	0.396	0.165	0.188571	4797	1.651032	4692	68	0.116471	1.417553	67	0.118209	1.427962	4	3	2017-06-29	2017-06-29	00:30:08	24	24	0.010588	748	317	1214	859	672	368	280		
23842714897520616	EliAds_fb_Female_RU_2					4.79	15	40	34	711			711	13		663	15	17	17	0.319333	0.11975	0.140882	3693	1.297048	3637	35	0.136857	0.947739	35	0.136857	0.962332	1	1	2017-06-29	2017-06-29	00:30:09	35	35	0.040593	118	109	730	296	173	111	106		
23842631637980616	EliAds_fb_Female_RU					0.59	1	4	3	144			144	7		133	1	2	2	0.59	0.1475	0.196667	427	1.381733	413	4	0.1475	0.936768	4	0.1475	0.968523	1	0	2017-06-29	2017-06-29	00:30:18	2	2	0.012041	49	18	92	52	31	18	17		
23842735532680616	EliAds_fb_FM_KR_3					188.88	118	313	264	10557	2	4	10556	80		9787	118	125	125	1.600678	0.60345	0.715455	36548	5.167998	32339	683	0.276545	1.868775	653	0.28925	2.019234	528	418	2017-06-29	2017-06-29	00:59:01	7364	6137	0.041852	4513	3848	10189	6528	5015	3702	3258		
23842728373390616	EliAds_fb_FM_BR					39.46	290	684	674	14043	10	7	14017	81		13140	290	284	284	0.136069	0.05769	0.058546	68169	0.578855	65645	779	0.050655	1.142748	755	0.052265	1.150126	634	352	2017-06-29	2017-06-29	00:59:01	3221	3221	0.007503	5259	2370	9782	5573	3791	2500	1851		
23842719941570616	EliAds_fb_Male_RU_2					7.92	20	48	42	1532		1	1532	42		1420	20	24	24	0.396	0.165	0.188571	4865	1.627955	4758	69	0.114783	1.418294	68	0.116471	1.429172	4	3	2017-06-29	2017-06-29	00:59:03	24	23	0.010462	757	320	1229	869	681	372	284		
23842714897520616	EliAds_fb_Female_RU_2					4.79	15	42	35	731			731	14		682	15	17	17	0.319333	0.114048	0.136857	3778	1.267867	3720	35	0.136857	0.926416	35	0.136857	0.94086	1	1	2017-06-29	2017-06-29	00:59:03	35	35	0.038629	124	113	751	309	181	114	109		
23842631637980616	EliAds_fb_Female_RU					0.59	1	4	3	146			146	7		135	1	2	2	0.59	0.1475	0.196667	437	1.350114	423	4	0.1475	0.915332	4	0.1475	0.945626	1	0	2017-06-29	2017-06-29	00:59:06	2	2	0.012041	49	18	94	52	31	18	17		
23842735532680616	EliAds_fb_FM_KR_3					0.33				49			49	1		46							98	3.367347	91	2	0.165	2.040816	2	0.165	2.197802	1	0	2017-06-29	2017-06-29	01:29:02	27	19	0.0165	20	18	46	32	25	17	15		
23842728373390616	EliAds_fb_FM_BR					0	2	3	3	152			150			137	2	2	2	0	0	0	657	0	647	13	0	1.978691	13	0	2.009274	11	6	2017-06-29	2017-06-29	01:29:02	18	17	0	58	38	106	61	49	39	31		
23842719941570616	EliAds_fb_Male_RU_2					0				19			19	3		14							12	0	12	2	0	16.666667	2	0	16.666667	0	0	2017-06-29	2017-06-29	01:29:04	0	0	0	7	2	13	9	7	2	2		
23842714897520616	EliAds_fb_Female_RU_2					0				13			13			12							69	0	68	1	0	1.449275	1	0	1.470588	0	0	2017-06-29	2017-06-29	01:29:05	0	0	0	2	2	12	3	2	2	2		
23842631637980616	EliAds_fb_Female_RU					0				1			1			1							2	0	2	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	01:29:13	0	0	0	1		1	1					
23842735532680616	EliAds_fb_FM_KR_3					1.36	1	2	2	116			116	1		108	1	1	1	1.36	0.68	0.68	422	3.222749	400	7	0.194286	1.658768	7	0.194286	1.75	4	3	2017-06-29	2017-06-29	01:58:54	108	102	0.026667	51	41	110	76	62	39	31		
23842728373390616	EliAds_fb_FM_BR					0.66	6	14	14	395			392	1		365	6	6	6	0.11	0.047143	0.047143	1893	0.348653	1872	26	0.025385	1.373481	26	0.025385	1.388889	22	12	2017-06-29	2017-06-29	01:58:54	67	66	0.004	165	93	288	175	128	96	80		
23842719941570616	EliAds_fb_Male_RU_2					0				26			26	3		21							68	0	68	2	0	2.941176	2	0	2.941176	0	0	2017-06-29	2017-06-29	01:58:57	1	1	0	9	2	19	11	9	3	2		
23842714897520616	EliAds_fb_Female_RU_2					0				31			31			30							194	0	193	1	0	0.515464	1	0	0.518135	0	0	2017-06-29	2017-06-29	01:58:57	3	3	0	6	5	31	11	6	5	5		
23842631637980616	EliAds_fb_Female_RU					0				2			2			2							10	0	9	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	01:59:01	0	0	0	1		2	1					
23842735532680616	EliAds_fb_FM_KR_3					2.13	3	5	5	174			174	2		159	3	3	3	0.71	0.426	0.426	686	3.104956	653	13	0.163846	1.895044	13	0.163846	1.990812	10	5	2017-06-29	2017-06-29	02:31:23	165	154	0.028784	74	60	170	109	90	57	48		
23842728373390616	EliAds_fb_FM_BR					0.81	12	27	27	694		1	691	2		644	12	12	12	0.0675	0.03	0.03	3153	0.256898	3109	44	0.018409	1.395496	44	0.018409	1.415246	36	19	2017-06-29	2017-06-29	02:31:23	121	115	0.002492	325	165	515	330	234	166	140		
23842719941570616	EliAds_fb_Male_RU_2					0				47			47	4		41							125	0	119	2	0	1.6	2	0	1.680672	0	0	2017-06-29	2017-06-29	02:31:30	1	1	0	21	7	39	25	19	9	6		
23842714897520616	EliAds_fb_Female_RU_2					0				47			47			46							291	0	290	1	0	0.343643	1	0	0.344828	0	0	2017-06-29	2017-06-29	02:31:30	4	4	0	9	8	49	20	10	8	8		
23842631637980616	EliAds_fb_Female_RU					0				2			2			2							17	0	16	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	02:31:39	0	0	0	1		2	1					
23842735532680616	EliAds_fb_FM_KR_3					2.62	3	5	5	220			220	3		201	3	3	3	0.873333	0.524	0.524	857	3.057176	818	16	0.16375	1.866978	15	0.174667	1.833741	13	7	2017-06-29	2017-06-29	02:59:15	205	195	0.029438	89	68	209	139	110	64	54		
23842728373390616	EliAds_fb_FM_BR					2.4	25	50	50	994		1	991	3		924	25	24	24	0.096	0.048	0.048	4604	0.521286	4539	63	0.038095	1.368375	63	0.038095	1.387971	50	27	2017-06-29	2017-06-29	02:59:15	195	193	0.005728	419	202	723	447	310	210	169		
23842719941570616	EliAds_fb_Male_RU_2					0				63			63	4		55							204	0	203	4	0	1.960784	4	0	1.970443	1	1	2017-06-29	2017-06-29	02:59:17	1	1	0	27	10	50	32	26	13	7		
23842714897520616	EliAds_fb_Female_RU_2					0				70			70			69							402	0	400	1	0	0.248756	1	0	0.25	0	0	2017-06-29	2017-06-29	02:59:17	4	4	0	15	13	71	31	19	13	12		
23842631637980616	EliAds_fb_Female_RU					0				3			3			3							28	0	26	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	02:59:20	0	0	0	2		3	2	1				
23842735532680616	EliAds_fb_FM_KR_3					2.89	3	5	5	243			243	3		224	3	3	3	0.963333	0.578	0.578	954	3.02935	911	16	0.180625	1.677149	15	0.192667	1.646542	13	7	2017-06-29	2017-06-29	03:28:58	221	210	0.028614	101	78	231	153	124	74	61		
23842728373390616	EliAds_fb_FM_BR					4.43	35	73	73	1266		1	1263	4		1178	35	35	35	0.126571	0.060685	0.060685	5785	0.765774	5550	80	0.055375	1.382887	80	0.055375	1.441441	62	30	2017-06-29	2017-06-29	03:28:59	257	254	0.008219	539	258	925	570	398	267	205		
