campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842735532680616	EliAds_fb_FM_KR_3					197.1	120	368	297	12008	3	1	12000	74		11216	120	128	128	1.6425	0.535598	0.663636	43738	4.506379	39898	706	0.279178	1.614157	684	0.288158	1.714372	571	462	2017-06-28	2017-06-28	00:28:58	11484	10409	0.039834	4948	4156	12319	7713	5876	4137	3541		
23842728373390616	EliAds_fb_FM_BR					81.42	535	1245	1235	25088	11	9	25045	128		23251	532	527	527	0.152187	0.065398	0.065927	139949	0.581783	129308	1646	0.049465	1.176143	1594	0.051079	1.232716	1026	535	2017-06-28	2017-06-28	00:28:58	4177	4067	0.00815	9990	4342	17667	10336	6961	4504	3436		
23842719941570616	EliAds_fb_Male_RU_2					9.5	18	39	35	1123	1	1	1123	32		1046	18	19	19	0.527778	0.24359	0.271429	3751	2.532658	3701	43	0.22093	1.146361	43	0.22093	1.161848	2	2	2017-06-28	2017-06-28	00:29:00	33	33	0.017336	548	222	911	610	498	252	197		
23842714897520616	EliAds_fb_Female_RU_2					3.02	11	31	26	1208			1208	4		1159	11	13	13	0.274545	0.097419	0.116154	5919	0.510221	5919	45	0.067111	0.760264	45	0.067111	0.760264	2	2	2017-06-28	2017-06-28	00:29:00	65	61	0.014047	215	204	1262	501	299	204	199		
23842631637980616	EliAds_fb_Female_RU					0	1	2	2	264			264	4		257	1	1	1	0	0	0	708	0	699	3	0	0.423729	3	0	0.429185	0	0	2017-06-28	2017-06-28	00:29:03	0	0	0	77	42	174	84	61	42	41		
23842735532680616	EliAds_fb_FM_KR_3					199.68	120	370	298	12251	3	1	12243	75		11443	120	128	128	1.664	0.539676	0.670067	44608	4.476327	40630	721	0.276949	1.616302	699	0.285665	1.720404	583	471	2017-06-28	2017-06-28	00:59:03	11680	10550	0.039486	5057	4246	12541	7863	6005	4220	3615		
23842728373390616	EliAds_fb_FM_BR					83.3	564	1310	1300	25453	12	10	25410	128		23592	561	554	554	0.147695	0.063588	0.064077	141174	0.590052	130361	1668	0.04994	1.181521	1616	0.051547	1.239635	1046	544	2017-06-28	2017-06-28	00:59:03	4230	4149	0.008241	10108	4388	17886	10455	7046	4557	3473		
23842719941570616	EliAds_fb_Male_RU_2					9.5	18	39	35	1168	1	1	1168	34		1087	18	19	19	0.527778	0.24359	0.271429	3884	2.445932	3833	45	0.211111	1.158599	45	0.211111	1.174015	2	2	2017-06-28	2017-06-28	00:59:05	34	34	0.016608	572	234	946	635	518	265	207		
23842714897520616	EliAds_fb_Female_RU_2					3.02	11	31	26	1256			1256	4		1205	11	13	13	0.274545	0.097419	0.116154	6142	0.491697	6142	47	0.064255	0.765223	47	0.064255	0.765223	2	2	2017-06-28	2017-06-28	00:59:06	67	63	0.013422	225	212	1311	523	314	212	207		
23842631637980616	EliAds_fb_Female_RU					0	1	2	2	269			269	4		262	1	1	1	0	0	0	730	0	721	3	0	0.410959	3	0	0.416089	0	0	2017-06-28	2017-06-28	00:59:09	0	0	0	79	42	178	86	63	42	41		
