campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842577135540240	EliAds_ID_0604_M					0.55	2	4	4	15			15	4			1	2	2	0.275	0.1375	0.1375	847	0.649351	829	11	0.05	1.298701	11	0.05	1.3269	9	1	2017-06-28	2017-06-28	00:28:37	299	295										
23842573359820240	EliAds_ID_0526_M					3.4	7	12	12	151			151	84			7	7	7	0.485714	0.283333	0.283333	9337	0.364143	9163	67	0.050746	0.717575	66	0.051515	0.720288	18	36	2017-06-28	2017-06-28	00:28:37	6187	6067										
23842572361070240	EliAds_ID_0524_M					1.78	1	2	2	79			78	50			1	1	1	1.78	0.89	0.89	4926	0.361348	4877	28	0.063571	0.568413	27	0.065926	0.553619	6	16	2017-06-28	2017-06-28	00:28:38	2819	2802										
23842577135540240	EliAds_ID_0604_M					2.01	4	8	8	38			37	9			4	4	4	0.5025	0.25125	0.25125	2347	0.856412	2292	28	0.071786	1.193012	28	0.071786	1.22164	19	4	2017-06-28	2017-06-28	00:58:39	845	839										
23842573359820240	EliAds_ID_0526_M					8.17	18	29	29	419			419	243			18	18	18	0.453889	0.281724	0.281724	23470	0.348104	22563	176	0.04642	0.749893	174	0.046954	0.771174	47	89	2017-06-28	2017-06-28	00:58:39	15622	15118										
23842572361070240	EliAds_ID_0524_M					4.53	6	12	12	222			221	128			6	6	6	0.755	0.3775	0.3775	12925	0.350484	12810	93	0.04871	0.719536	92	0.049239	0.718189	19	44	2017-06-28	2017-06-28	00:58:39	7281	7142										
23842577135540240	EliAds_ID_0604_M					2.01	5	10	10	49			48	15			5	5	5	0.402	0.201	0.201	3276	0.613553	3189	33	0.060909	1.007326	33	0.060909	1.034807	22	5	2017-06-28	2017-06-28	01:28:40	1212	1201										
23842573359820240	EliAds_ID_0526_M					10.56	27	40	40	524			524	300			27	24	24	0.391111	0.264	0.264	30147	0.350284	29320	224	0.047143	0.743026	221	0.047783	0.753752	60	109	2017-06-28	2017-06-28	01:28:40	19836	19531										
23842572361070240	EliAds_ID_0524_M					7.73	14	27	27	343	1		340	198			14	14	14	0.552143	0.286296	0.286296	20430	0.378365	20240	141	0.054823	0.690162	139	0.055612	0.686759	34	66	2017-06-28	2017-06-28	01:28:41	11423	11268										
23842577135540240	EliAds_ID_0604_M					2.54	5	10	10	61			60	19			5	5	5	0.508	0.254	0.254	3988	0.636911	3865	41	0.061951	1.028084	41	0.061951	1.060802	28	8	2017-06-28	2017-06-28	01:58:57	1477	1462										
