campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842565642150758	eliads_beaconflashlight_US_0526_M					0.1																	18	5.555556	16	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:28:31	0	0										
23842564020810758	eliads_beaconflashlight_US_0519_M					0.34				13			13			13							76	4.473684	76	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:28:33	2	2	0.068	5	3	6	4	4	3	3		
23842565642150758	eliads_beaconflashlight_US_0526_M					0.12																	21	5.714286	20	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:58:31	0	0										
23842564020810758	eliads_beaconflashlight_US_0519_M					0.86				28			28			28							193	4.455959	193	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:58:32	8	8	0.122857	7	4	13	7	5	4	4		
23842565642150758	eliads_beaconflashlight_US_0526_M					0.18																	39	4.615385	35	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	01:28:32	0	0										
23842564020810758	eliads_beaconflashlight_US_0519_M					1.49	1	2	2	40			40			39	1	1	1	1.49	0.745	0.745	328	4.542683	327	1	1.49	0.304878	1	1.49	0.30581	1	1	2017-06-29	2017-06-29	01:28:33	11	11	0.135455	11	5	19	10	7	5	5		
23842565642150758	eliads_beaconflashlight_US_0526_M					0.37																	68	5.441176	61	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	01:58:31	1	1										
23842564020810758	eliads_beaconflashlight_US_0519_M					2.16	2	4	4	72			72			66	2	2	2	1.08	0.54	0.54	491	4.399185	488	6	0.36	1.221996	6	0.36	1.229508	7	7	2017-06-29	2017-06-29	01:58:32	19	19	0.127059	17	7	31	15	11	7	7		
23842565642150758	eliads_beaconflashlight_US_0526_M					0.38																	76	5	68	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	02:28:33	1	1										
23842564020810758	eliads_beaconflashlight_US_0519_M					2.93	4	8	8	108			107			99	4	4	4	0.7325	0.36625	0.36625	703	4.167852	698	8	0.36625	1.13798	8	0.36625	1.146132	10	8	2017-06-29	2017-06-29	02:28:34	27	27	0.108519	27	12	51	23	18	12	12		
