Name,RU_kwai
Type,Campaign
Frequency,One time
Date range,Custom date range
Dates,"Aug 1, 2017-Aug 29, 2017"
Account,Day,Campaign,Campaign ID,Conversions,All conv.,Cost
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_V1,892597578,0.0,0.0,0.08
Kwai_Pro_EliAds,2017-08-23,Kwai_RU_V1,892597578,24.0,41.0,8.56
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_V1,892597578,92.0,177.0,41.74
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_V1,892597578,23.0,45.0,7.90
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_V1,892597578,113.0,222.0,69.13
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_V1,892597578,122.0,241.0,74.43
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_V1,892597578,73.0,131.0,27.96
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_V1,892597578,11.0,26.0,14.20
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_V1,892597578,49.0,99.0,45.64
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_V1,892597578,25.0,55.0,19.03
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_V1,892597578,51.0,100.0,27.46
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_V1,892597578,53.0,100.0,30.14
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_V1,892597578,52.0,105.0,35.12
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_V1,892597578,41.0,80.0,26.84
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_V1,892597578,52.0,105.0,28.72
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_V1,892597578,217.0,411.0,161.33
Kwai_Pro_EliAds,2017-08-17,Kwai_RU_V1,892597578,46.0,90.0,29.84
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_V1,892597578,0.0,0.0,0.14
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_V1,892597578,255.0,476.0,179.06
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_V1,892597578,88.0,189.0,53.74
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_V1,892597578,82.0,136.0,38.52
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_V1,892597578,82.0,182.0,66.72
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_V1,892597578,9.0,19.0,3.98
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_V1,892597578,77.0,150.0,37.39
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_V1,892597578,85.0,155.0,43.82
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_D1,874401731,0.0,0.0,0.06
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_D1,874401731,0.0,0.0,0.26
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_D1,874401731,0.0,0.0,0.42
Kwai_Pro_EliAds,2017-08-23,Kwai_RU_U1,874062615,64.0,141.0,24.80
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_D1,874401731,0.0,0.0,0.13
Kwai_Pro_EliAds,2017-08-25,Kwai_RU_U1,874062615,118.0,251.0,55.20
Kwai_Pro_EliAds,2017-08-28,Kwai_RU_U1,874062615,122.0,268.0,59.40
Kwai_Pro_EliAds,2017-08-19,Kwai_RU_U1,874062615,27.0,59.0,13.07
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_U1,874062615,111.0,226.0,85.25
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_U1,874062615,212.0,420.0,145.97
Kwai_Pro_EliAds,2017-08-17,Kwai_RU_U1,874062615,76.0,132.0,36.17
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_U1,874062615,24.0,53.0,11.77
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_U1,874062615,167.0,327.0,95.27
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_D1,874401731,0.0,0.0,0.29
Kwai_Pro_EliAds,2017-08-03,Kwai_RU_D1,874401731,0.0,0.0,0.84
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_D1,874401731,0.0,0.0,0.06
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_U1,874062615,474.0,893.0,314.23
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_U1,874062615,282.0,548.0,193.29
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_D1,874401731,0.0,0.0,0.09
