campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842585679430042	EliAds_hikeyboard_AU_0623					0.2				5			5			5							53	3.773585	48	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:28:33	0	0	0.1	2	2	5	2	2	2	2		
23842582264520042	EliAds_hikeyboard_BR_0614					0.48	2	4	4	34			34	2		19	2	2	2	0.24	0.12	0.12	598	0.802676	597	13	0.036923	2.173913	13	0.036923	2.177554	7	12	2017-06-28	2017-06-28	00:28:33	4	4	0.24	2	2	16	4	2	2	2		
23842580794710042	EliAds_hikeyboard_BR_0610					0.74	7	10	10	44			43	1			7	7	7	0.105714	0.074	0.074	1924	0.384615	1910	42	0.017619	2.182952	41	0.018049	2.146597	12	24	2017-06-28	2017-06-28	00:28:33	7	7										
23842585679430042	EliAds_hikeyboard_AU_0623					0.86				14			14			14							177	4.858757	175	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:58:34	0	0	0.143333	6	6	12	7	6	6	6		
23842582264520042	EliAds_hikeyboard_BR_0614					1.12	9	16	16	81			81	4		46	9	9	9	0.124444	0.07	0.07	1435	0.780488	1429	31	0.036129	2.160279	31	0.036129	2.169349	20	29	2017-06-28	2017-06-28	00:58:35	8	8	0.112	10	6	43	16	8	5	5		
23842580794710042	EliAds_hikeyboard_BR_0610					1.72	28	40	40	120			119	7			26	28	28	0.061429	0.043	0.043	4388	0.391978	4333	112	0.015357	2.552416	104	0.016538	2.400185	35	70	2017-06-28	2017-06-28	00:58:35	26	24										
23842585679430042	EliAds_hikeyboard_AU_0623					1.39	1	2	2	20			20			18	1	1	1	1.39	0.695	0.695	274	5.072993	248	2	0.695	0.729927	2	0.695	0.806452	0	0	2017-06-28	2017-06-28	01:28:33	0	0	0.198571	7	6	16	9	6	6	6		
23842582264520042	EliAds_hikeyboard_BR_0614					1.89	11	19	19	152			152	9		93	11	11	11	0.171818	0.099474	0.099474	2346	0.805627	2332	50	0.0378	2.131287	49	0.038571	2.101201	32	42	2017-06-28	2017-06-28	01:28:34	14	14	0.085909	22	13	83	37	19	13	13		
23842580794710042	EliAds_hikeyboard_BR_0610					2.31	49	71	71	184			183	13			48	48	48	0.047143	0.032535	0.032535	6181	0.373726	6136	170	0.013588	2.750364	156	0.014808	2.542373	53	100	2017-06-28	2017-06-28	01:28:35	40	36										
23842585679430042	EliAds_hikeyboard_AU_0623					2	1	2	2	34			34			29	1	1	1	2	1	1	372	5.376344	327	5	0.4	1.344086	5	0.4	1.529052	0	0	2017-06-28	2017-06-28	01:58:42	0	0	0.166667	12	8	25	14	10	8	8		
23842582264520042	EliAds_hikeyboard_BR_0614					2.49	14	25	25	248			247	12		162	14	14	14	0.177857	0.0996	0.0996	3174	0.784499	3153	73	0.03411	2.299937	72	0.034583	2.283539	51	59	2017-06-28	2017-06-28	01:58:43	21	21	0.056591	44	24	149	67	39	26	24		
23842580794710042	EliAds_hikeyboard_BR_0610					2.66	60	86	86	225			224	18			57	59	59	0.044333	0.03093	0.03093	7458	0.356664	7348	206	0.012913	2.762135	191	0.013927	2.599347	61	115	2017-06-28	2017-06-28	01:58:44	49	47										
23842585679430042	EliAds_hikeyboard_AU_0623					2.63	1	2	2	49			49			41	1	1	1	2.63	1.315	1.315	454	5.792952	400	8	0.32875	1.762115	8	0.32875	2	1	1	2017-06-28	2017-06-28	02:28:33	0	0	0.154706	17	12	34	19	14	12	12		
23842582264520042	EliAds_hikeyboard_BR_0614					3.42	21	38	38	321			318	16		212	21	21	21	0.162857	0.09	0.09	4391	0.778866	4352	90	0.038	2.049647	89	0.038427	2.045037	59	73	2017-06-28	2017-06-28	02:28:34	27	27	0.064528	53	30	195	88	48	32	29		
23842580794710042	EliAds_hikeyboard_BR_0610					3.06	66	92	92	267			266	20			65	64	64	0.046364	0.033261	0.033261	8811	0.347293	8656	246	0.012439	2.791965	231	0.013247	2.668669	73	138	2017-06-28	2017-06-28	02:28:35	57	57										
23842585679430042	EliAds_hikeyboard_AU_0623					3.16	1	2	2	60			60			52	1	1	1	3.16	1.58	1.58	552	5.724638	490	8	0.395	1.449275	8	0.395	1.632653	1	1	2017-06-28	2017-06-28	02:58:34	0	0	0.158	20	14	44	24	16	14	13		
23842582264520042	EliAds_hikeyboard_BR_0614					4.16	28	50	50	411			408	19		279	28	28	28	0.148571	0.0832	0.0832	5502	0.756089	5502	110	0.037818	1.999273	110	0.037818	1.999273	69	88	2017-06-28	2017-06-28	02:58:34	29	25	0.057778	72	42	252	121	68	46	42		
23842580794710042	EliAds_hikeyboard_BR_0610					3.43	77	111	111	309			308	25			76	76	76	0.044545	0.030901	0.030901	9997	0.343103	9874	283	0.01212	2.830849	264	0.012992	2.673688	85	166	2017-06-28	2017-06-28	02:58:34	61	60										
23842585679430042	EliAds_hikeyboard_AU_0623					3.56	1	2	2	69			69			61	1	1	1	3.56	1.78	1.78	635	5.606299	558	8	0.445	1.259843	8	0.445	1.433692	1	1	2017-06-28	2017-06-28	03:28:33	0	0	0.169524	21	15	50	26	17	15	14		
23842582264520042	EliAds_hikeyboard_BR_0614					5.05	33	60	60	503			500	21		348	33	33	33	0.15303	0.084167	0.084167	6729	0.750483	6729	131	0.03855	1.946797	130	0.038846	1.931936	81	103	2017-06-28	2017-06-28	03:28:33	33	32	0.057386	88	50	314	150	79	54	49		
