campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842585679430042	EliAds_hikeyboard_AU_0623					0																	2	0	2	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	00:28:41	0	0										
23842580794710042	EliAds_hikeyboard_BR_0610					0.09	2	3	3	14			14	3			2	2	2	0.045	0.03	0.03	380	0.236842	376	11	0.008182	2.894737	10	0.009	2.659574	3	5	2017-06-29	2017-06-29	00:28:46	2	2										
23842585679430042	EliAds_hikeyboard_AU_0623					0.02				1			1										20	1	13	1	0.02	5	1	0.02	7.692308	0	0	2017-06-29	2017-06-29	00:58:33	0	0										
23842580794710042	EliAds_hikeyboard_BR_0610					0.35	4	6	6	28			28	4			4	4	4	0.0875	0.058333	0.058333	1120	0.3125	1109	24	0.014583	2.142857	22	0.015909	1.983769	10	10	2017-06-29	2017-06-29	00:58:34	8	8										
23842585679430042	EliAds_hikeyboard_AU_0623					0.03				1			1										23	1.304348	16	1	0.03	4.347826	1	0.03	6.25	0	0	2017-06-29	2017-06-29	01:28:34	0	0										
23842580794710042	EliAds_hikeyboard_BR_0610					0.83	11	17	17	52			51	7			11	11	11	0.075455	0.048824	0.048824	2406	0.344971	2381	44	0.018864	1.828761	42	0.019762	1.763965	21	22	2017-06-29	2017-06-29	01:28:35	21	21										
23842585679430042	EliAds_hikeyboard_AU_0623					0.05				1			1										28	1.785714	20	1	0.05	3.571429	1	0.05	5	0	0	2017-06-29	2017-06-29	01:58:33	0	0										
23842580794710042	EliAds_hikeyboard_BR_0610					1.37	16	24	24	90			89	9			16	16	16	0.085625	0.057083	0.057083	3693	0.370972	3660	80	0.017125	2.16626	77	0.017792	2.103825	33	46	2017-06-29	2017-06-29	01:58:33	34	34										
23842585679430042	EliAds_hikeyboard_AU_0623					0.07				1			1										32	2.1875	25	1	0.07	3.125	1	0.07	4	0	0	2017-06-29	2017-06-29	02:28:40	0	0										
23842580794710042	EliAds_hikeyboard_BR_0610					2.1	24	34	34	129			128	9			24	24	24	0.0875	0.061765	0.061765	5367	0.39128	5205	119	0.017647	2.217254	110	0.019091	2.113353	49	64	2017-06-29	2017-06-29	02:28:42	43	43										
23842585679430042	EliAds_hikeyboard_AU_0623					0.1	1	2	2	2			2				1	1	1	0.1	0.05	0.05	37	2.702703	29	2	0.05	5.405405	2	0.05	6.896552	0	0	2017-06-29	2017-06-29	02:58:39	0	0										
23842580794710042	EliAds_hikeyboard_BR_0610					2.7	32	49	49	178			177	16			32	32	32	0.084375	0.055102	0.055102	6802	0.396942	6608	161	0.01677	2.366951	153	0.017647	2.315375	68	85	2017-06-29	2017-06-29	02:58:40	49	49										
23842585679430042	EliAds_hikeyboard_AU_0623					0.22	1	2	2	3			3				1	1	1	0.22	0.11	0.11	46	4.782609	34	3	0.073333	6.521739	3	0.073333	8.823529	0	0	2017-06-29	2017-06-29	03:28:33	0	0										
