campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592860780762	ID_M_20170628_1828_MB_All_Oi_Cim_mouthSinging			177.64	253	426	426	57444	25	29	57439	3913		52346	251	249	249	0.702134	0.416995	0.416995	267114	0.665034	263826	1125	0.157902	0.421168	1119	0.158749	0.424143	206	163	2017-06-29	2017-06-29	00:06:28	26370	26361	0.008575	20716	13547	52071	31014	22392	14832	12082			120	IMPRESSIONS	APP_INSTALLS	300000	13	29	1				
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592860310762	ID_M_20170628_1826_MB_LL10DT7m_Oi_Cim_mouthSinging			274.47	399	672	672	60558	36	51	60544	7001		51793	398	401	401	0.687895	0.408438	0.408438	355313	0.772474	348247	1661	0.165244	0.467475	1638	0.167564	0.470356	367	374	2017-06-29	2017-06-29	00:06:29	76816	73959	0.011403	24069	15450	51493	33201	25685	16910	13771			110	IMPRESSIONS	APP_INSTALLS	300000	13	29	1	23842585438780762;23842585438800762	"Lookalike (ID, 6%) - DT7m;Lookalike (ID, 6% to 10%) - DT7m"		
23842589465590762	EliAds_fb_FM_ID_bf	23842592859850762	ID_F_20170628_1823_MB_All_Oi_Cim_mouthSinging			122.53	203	353	353	31220	12	14	31213	1477		28850	203	201	201	0.603596	0.34711	0.34711	157907	0.775963	151283	860	0.142477	0.544624	846	0.144835	0.559217	323	226	2017-06-29	2017-06-29	00:06:35	12668	11766	0.010241	11965	8107	28602	17280	12812	8840	7224			95	IMPRESSIONS	APP_INSTALLS	300000	13	65	2				
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592817600762	ID_M_20170628_1410_MB_All_Oi_Cim_purpleComedy			31.12	41	60	60	9556		1	9555	656		8725	41	40	40	0.759024	0.518667	0.518667	40210	0.773937	39328	173	0.179884	0.430241	173	0.179884	0.43989	21	17	2017-06-29	2017-06-29	00:06:36	2982	2625	0.0147	2117	1458	8706	4178	2422	1580	1309			110	IMPRESSIONS	APP_INSTALLS	300000	13	29	1				
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592817250762	ID_M_20170628_1407_MB_LL10DT7m_Oi_Cim_purpleComedy			139.65	147	220	220	26828	2	16	26821	3603		22485	146	142	142	0.95	0.634773	0.634773	157387	0.887303	157387	715	0.195315	0.454294	706	0.197805	0.448576	128	130	2017-06-29	2017-06-29	00:06:36	35259	35259	0.021153	6602	4367	22386	11865	7437	4674	3887			110	IMPRESSIONS	APP_INSTALLS	300000	13	29	1	23842585438800762;23842585438780762	"Lookalike (ID, 6% to 10%) - DT7m;Lookalike (ID, 6%) - DT7m"		
23842589465590762	EliAds_fb_FM_ID_bf	23842592816400762	ID_F_20170628_1404_MB_All_Oi_Cim_purpleComedy			711.9	1112	1858	1858	194578	28	45	194534	9611		179971	1111	1108	1108	0.640198	0.383154	0.383154	866651	0.821438	843734	4876	0.146001	0.562626	4814	0.147881	0.570559	883	630	2017-06-29	2017-06-29	00:06:37	42610	40491	0.015433	46129	32271	179245	88638	52583	34686	29237			105	IMPRESSIONS	APP_INSTALLS	300000	13	65	2				
23842589465590762	EliAds_fb_FM_ID_bf	23842592815120762	ID_F_20170628_1359_MB_LL10DT8f_Oi_Cim_purpleComedy			24.16	25	41	41	3516	1		3510	318		3095	25	24	24	0.9664	0.589268	0.589268	28269	0.854646	27970	96	0.251667	0.339595	96	0.251667	0.343225	45	29	2017-06-29	2017-06-29	00:06:47	8263	8263	0.022104	1093	755	3082	1779	1197	799	677			100	IMPRESSIONS	APP_INSTALLS	500000	13	29	2	23842585438830762;23842585438810762	"Lookalike (ID, 6% to 10%) - DT8f;Lookalike (ID, 6%) - DT8f"		
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592814870762	ID_M_20170628_1353_MB_All_Oi_Cim_blackComedy			121.41	165	256	256	33976	6	31	33969	2130		31093	164	163	163	0.735818	0.474258	0.474258	180153	0.673927	177595	708	0.171483	0.392999	695	0.174691	0.39134	198	178	2017-06-29	2017-06-29	00:06:48	30473	29096	0.013581	8940	8938	36562	22407	15629	9669	8075			120	IMPRESSIONS	APP_INSTALLS	300000	13	29	1				
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592814590762	ID_M_20170628_1350_MB_LL10DT7m_Oi_Cim_blackComedy			51.27	60	91	91	12580	2	5	12578	969		11343	60	60	60	0.8545	0.563407	0.563407	58587	0.875109	57957	258	0.198721	0.440371	257	0.199494	0.443432	27	31	2017-06-29	2017-06-29	00:06:50	8602	8134	0.015471	3314	3314	13189	8390	5948	3602	2954			105	IMPRESSIONS	APP_INSTALLS	300000	13	29	1	23842585438800762;23842585438780762	"Lookalike (ID, 6% to 10%) - DT7m;Lookalike (ID, 6%) - DT7m"		
23842589465590762	EliAds_fb_FM_ID_bf	23842592814250762	ID_F_20170628_1347_MB_All_Oi_Cim_blackComedy			112.62	174	295	295	30335	6	5	30330	1143		28515	174	170	170	0.647241	0.381763	0.381763	131608	0.855723	130206	661	0.170378	0.502249	648	0.173796	0.497673	143	97	2017-06-29	2017-06-29	00:06:50	5424	5424	0.014374	7835	7835	34448	19896	13419	8440	7091			105	IMPRESSIONS	APP_INSTALLS	300000	13	65	2				
